,index,SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,gainpercentage
0,956,INDSWFTLTD, EQ, 23-Dec-2022,9.4,9.5,11.25,9.1, 11.25,11.25,10.8,492455,53.17,1151, 248583, 50.48,18.421052631578945
1,2064,SYNCOMF, EQ, 23-Dec-2022,8.1,8.45,9.7,8.1, 9.70,9.7,9.42,19359086,1823.58,17753, 9280107, 47.94,14.792899408284024
2,1431,NECLIFE, EQ, 23-Dec-2022,23.95,24.2,28.5,24.2, 27.65,27.5,26.88,9218236,2478.29,17748, 2420077, 26.25,13.63636363636364
3,1276,MANAKALUCO, EQ, 23-Dec-2022,19.65,19.35,23.55,19.35, 21.10,21.65,22.22,571654,127.01,4610, 283020, 49.51,11.886304909560707
4,1377,MOREPENLAB, EQ, 23-Dec-2022,36.55,38.5,43.7,37.95, 43.50,42.65,41.03,70902748,29090.5,110037, 10702905, 15.10,10.779220779220775
5,2138,TIL, BZ, 23-Dec-2022,158.35,151.05,166.25,151.05, 166.25,166.25,166.2,112784,187.45,120, -, -,10.062893081760999
6,546,EKC, EQ, 23-Dec-2022,93.4,93.0,109.0,92.85, 103.25,101.8,104.72,5474104,5732.55,52952, 1468924, 26.83,9.462365591397846
7,1896,SHILPAMED, EQ, 23-Dec-2022,268.15,265.0,298.0,262.1, 288.90,289.55,291.34,4322435,12593.02,68589, 337696, 7.81,9.264150943396231
8,2276,VIVIMEDLAB, BZ, 23-Dec-2022,10.95,10.5,11.45,10.5, 11.45,11.45,11.28,401340,45.27,702, -, -,9.04761904761904
9,1094,KANDARP, SM, 23-Dec-2022,15.25,13.8,15.7,13.8, 15.00,15.0,14.8,44000,6.51,11, 12000, 27.27,8.695652173913038
10,324,BTML, SM, 23-Dec-2022,96.6,93.4,101.4,92.2, 101.40,101.4,98.09,282000,276.6,40, 192000, 68.09,8.565310492505352
11,610,FLEXITUFF, BE, 23-Dec-2022,30.8,29.3,32.3,29.3, 31.80,31.75,31.49,39876,12.56,147, -, -,8.3617747440273
12,1262,MAHICKRA, SM, 23-Dec-2022,81.35,75.5,81.5,75.5, 81.50,81.5,78.7,7500,5.9,5, 7500, 100.00,7.9470198675496695
13,1044,JFLLIFE, SM, 23-Dec-2022,32.5,31.0,33.3,30.1, 33.30,33.2,31.48,28000,8.81,14, 18000, 64.29,7.096774193548397
14,1722,RNAVAL, BZ, 23-Dec-2022,2.35,2.3,2.45,2.25, 2.45,2.45,2.39,1143674,27.3,763, -, -,6.521739130434799
15,114,AMEYA, SM, 23-Dec-2022,42.0,40.0,42.5,40.0, 42.50,42.5,41.41,20000,8.28,5, 16000, 80.00,6.25
16,615,FOCUS, EQ, 23-Dec-2022,274.75,265.0,288.45,261.05, 278.40,281.4,272.83,141042,384.81,2406, 73376, 52.02,6.18867924528301
17,2210,UNIVASTU, EQ, 23-Dec-2022,82.5,79.6,87.0,75.0, 85.30,84.35,80.14,993975,796.59,5548, 343826, 34.59,5.967336683417086
18,2303,WFL, EQ, 23-Dec-2022,208.4,205.5,218.8,205.5, 215.85,217.65,216.27,11549,24.98,326, 9806, 84.91,5.91240875912409
19,1429,NDTV, EQ, 23-Dec-2022,331.65,322.1,348.2,318.25, 339.95,340.65,337.9,1552081,5244.48,20202, 698867, 45.03,5.759081030735782
20,2211,UNIVCABLES, EQ, 23-Dec-2022,258.05,252.0,275.4,252.0, 264.00,266.3,265.8,150075,398.89,7062, 68734, 45.80,5.674603174603179
21,1148,KOTAKGOLD, EQ, 23-Dec-2022,47.19,44.41,47.0,44.41, 46.91,46.87,46.77,525413,245.72,1594, 453045, 86.23,5.539292952037831
22,725,GSTL, SM, 23-Dec-2022,81.5,80.0,84.85,80.0, 84.85,84.4,82.95,12000,9.95,3, 8000, 66.67,5.500000000000007
23,1977,SONUINFRA, SM, 23-Dec-2022,33.0,36.1,38.0,36.1, 38.00,38.0,37.03,9000,3.33,3, 9000, 100.00,5.263157894736838
24,316,BROOKS, EQ, 23-Dec-2022,100.2,99.95,105.2,99.0, 105.20,105.2,103.82,85338,88.6,823, 55382, 64.90,5.252626313156578
