,index,SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,gainpercentage
0,1921,SKIPPER, EQ, 02-Dec-2022,90.55,90.1,108.65,90.1, 108.65,108.65,105.86,3088619,3269.5,12148, 1804834, 58.43,20.58823529411766
1,396,COUNCODOS, EQ, 02-Dec-2022,4.1,4.1,4.9,4.0, 4.90,4.9,4.8,1884003,90.36,1611, 933466, 49.55,19.51219512195124
2,215,BAJAJHIND, EQ, 02-Dec-2022,11.25,11.3,13.5,11.25, 13.50,13.5,12.72,51802190,6589.06,23827, 20009392, 38.63,19.46902654867256
3,1657,RAYMOND, EQ, 02-Dec-2022,1369.65,1370.0,1630.0,1370.0, 1591.00,1608.9,1554.8,9368609,145663.38,274503, 982573, 10.49,17.437956204379567
4,1539,PEARLPOLY, EQ, 02-Dec-2022,20.3,20.75,24.35,19.65, 24.35,24.35,23.76,1865885,443.25,2688, 588832, 31.56,17.349397590361455
5,570,ESSEN-RE1, BE, 02-Dec-2022,2.55,2.7,3.45,2.55, 3.00,3.1,2.95,3078326,90.7,1309, -, -,14.814814814814811
6,2201,UTINEXT50, EQ, 02-Dec-2022,46.04,46.04,54.3,45.52, 46.20,52.35,51.52,145685,75.05,567, 73200, 50.25,13.705473501303219
7,2132,TOKYOPLAST, EQ, 02-Dec-2022,97.25,96.1,109.7,96.1, 105.25,106.75,104.79,153951,161.33,2130, 55243, 35.88,11.08220603537982
8,450,DELTAMAGNT, EQ, 02-Dec-2022,70.35,71.8,84.4,71.35, 78.95,79.45,80.84,171186,138.38,2522, 54775, 32.00,10.65459610027856
9,1197,LIKHITHA, EQ, 02-Dec-2022,464.85,238.9,273.35,238.0, 268.50,263.9,259.82,4134059,10741.26,70287, 573967, 13.88,10.464629552113843
10,1153,KSHITIJPOL, BE, 02-Dec-2022,36.3,34.5,38.1,34.5, 38.10,38.1,37.17,2189463,813.81,8106, -, -,10.434782608695656
11,1949,SPCENET, BE, 02-Dec-2022,20.0,19.05,21.0,19.05, 21.00,21.0,20.9,376072,78.61,593, -, -,10.236220472440941
12,1340,MOKSH, EQ, 02-Dec-2022,12.35,12.65,14.15,12.65, 14.00,13.9,13.72,1708108,234.38,3406, 795183, 46.55,9.881422924901186
13,794,HINDWAREAP, EQ, 02-Dec-2022,344.2,345.85,380.0,345.85, 380.00,377.95,370.89,458835,1701.79,22190, 168204, 36.66,9.281480410582613
14,1650,RAMKY, EQ, 02-Dec-2022,280.2,279.8,307.8,278.25, 303.50,305.35,297.78,839100,2498.63,17280, 288151, 34.34,9.131522516082919
15,743,HCC, EQ, 02-Dec-2022,17.05,17.0,19.35,16.85, 18.70,18.55,18.46,112851440,20837.75,50176, 35593951, 31.54,9.117647058823533
16,511,E2E, BE, 02-Dec-2022,181.7,175.0,190.75,175.0, 190.75,190.75,189.02,7881,14.9,69, -, -,9.0
17,1692,RICOAUTO, EQ, 02-Dec-2022,71.35,71.3,78.4,69.4, 76.90,77.45,75.45,8446088,6372.27,31036, 2469422, 29.24,8.625525946704075
18,1985,SSINFRA, ST, 02-Dec-2022,8.9,8.55,9.3,8.55, 9.30,9.25,9.13,24000,2.19,8, 21000, 87.50,8.187134502923968
19,1741,SAKHTISUG, EQ, 02-Dec-2022,21.6,21.4,23.75,21.4, 23.30,23.15,23.17,1878709,435.34,3953, 928746, 49.44,8.177570093457945
20,1368,MTARTECH, EQ, 02-Dec-2022,1600.45,1607.4,1750.0,1599.35, 1735.25,1737.8,1707.93,1259489,21511.22,66980, 290409, 23.06,8.112479781012807
21,963,IPSL, SM, 02-Dec-2022,79.6,78.0,85.05,78.0, 83.40,84.3,82.24,74000,60.85,35, 50000, 67.57,8.076923076923073
22,1410,NELCAST, EQ, 02-Dec-2022,88.0,88.0,96.15,87.35, 94.80,95.0,93.9,1251079,1174.79,10344, 605388, 48.39,7.954545454545454
23,167,ASPINWALL, EQ, 02-Dec-2022,219.3,213.4,230.25,213.4, 230.25,230.25,227.82,10006,22.8,289, 8181, 81.76,7.895970009372068
24,72,AIROLAM, EQ, 02-Dec-2022,85.3,86.6,100.6,85.7, 92.85,93.4,96.28,533519,513.69,6395, 97839, 18.34,7.852193995381077
