,index,SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,gainpercentage
0,231,BALPHARMA, EQ, 21-Dec-2022,86.7,87.45,102.4,86.65, 98.65,99.4,98.44,644252,634.18,9048, 204834, 31.79,13.66495140080046
1,2101,THYROCARE, EQ, 21-Dec-2022,608.6,617.75,709.0,616.85, 699.00,700.85,683.59,1668836,11408.08,46659, 208994, 12.52,13.452043707001218
2,962,IOLCP, EQ, 21-Dec-2022,350.0,352.95,415.0,352.95, 398.50,399.7,395.35,9630861,38075.8,151707, 995231, 10.33,13.245502195778439
3,2221,VIJAYA, EQ, 21-Dec-2022,425.6,428.2,486.0,427.55, 479.05,478.4,461.92,1283546,5928.95,35407, 207195, 16.14,11.72349369453526
4,2230,VINEETLAB, EQ, 21-Dec-2022,54.7,54.95,65.6,54.6, 61.25,60.8,63.42,679270,430.79,4897, 151970, 22.37,10.646041856232928
5,1358,MPTODAY, SM, 21-Dec-2022,50.65,48.15,53.1,48.15, 53.10,53.1,49.8,6000,2.99,3, 4000, 66.67,10.280373831775707
6,1509,PANACEABIO, EQ, 21-Dec-2022,138.2,139.3,159.45,139.1, 152.00,151.25,151.06,1000768,1511.78,20470, 324418, 32.42,8.578607322325906
7,1941,SOLARA, EQ, 21-Dec-2022,424.4,428.6,495.0,427.85, 460.00,461.25,473.64,1467261,6949.53,55400, 190037, 12.95,7.61782547830144
8,654,GLENMARK, EQ, 21-Dec-2022,409.25,410.05,442.0,410.05, 442.00,440.4,435.28,6127038,26669.71,83875, 854386, 13.94,7.4015363980002356
9,616,GAL, EQ, 21-Dec-2022,3.5,3.6,4.2,3.55, 3.90,3.85,3.99,5424032,216.65,2536, 2408853, 44.41,6.944444444444445
10,111,AMEYA, SM, 21-Dec-2022,44.65,43.3,46.25,43.25, 46.25,46.25,44.27,12000,5.31,3, 12000, 100.00,6.812933025404163
11,1029,JINDWORLD, EQ, 21-Dec-2022,414.35,426.0,458.5,417.7, 451.30,454.7,443.87,1308510,5808.11,39248, 233529, 17.85,6.737089201877931
12,966,IPSL, SM, 21-Dec-2022,82.1,83.9,97.95,83.0, 89.20,89.2,91.42,428000,391.26,206, 198000, 46.26,6.317044100119186
13,1307,METROPOLIS, EQ, 21-Dec-2022,1281.05,1292.8,1385.5,1291.0, 1372.20,1370.85,1350.8,1861301,25142.43,61005, 371761, 19.97,6.037283415841581
14,1351,MOREPENLAB, EQ, 21-Dec-2022,30.9,31.2,33.7,30.9, 33.20,33.0,32.76,13818600,4526.62,25478, 3851857, 27.87,5.769230769230772
15,628,GAYAHWS, EQ, 21-Dec-2022,0.9,0.9,0.95,0.9, 0.95,0.95,0.93,838540,7.79,426, 735033, 87.66,5.555555555555548
16,2106,TIJARIA, BE, 21-Dec-2022,6.8,6.55,7.05,6.55, 7.00,6.9,6.76,95532,6.46,115, -, -,5.343511450381688
17,2265,WELENT, EQ, 21-Dec-2022,156.05,155.15,165.9,155.0, 161.65,163.4,161.78,1059413,1713.89,9120, 639662, 60.38,5.3174347405736375
18,2162,UGROCAP, N6, 21-Dec-2022,948.0,951.0,1000.0,890.0, 1000.00,1000.0,959.48,54,0.52,8, 34, 62.96,5.152471083070452
19,589,FELIX, SM, 21-Dec-2022,78.75,76.1,80.0,76.0, 80.00,80.0,77.03,16000,12.32,4, 12000, 75.00,5.12483574244416
20,1987,SUBCAPCITY, EQ, 21-Dec-2022,92.25,91.0,96.85,90.3, 93.10,95.65,93.97,1978,1.86,101, 1068, 53.99,5.109890109890116
21,98,ALLETEC, ST, 21-Dec-2022,90.0,125.0,131.25,120.1, 131.25,131.25,125.51,2785600,3496.19,1365, 2780800, 99.83,5.0
22,1476,OILCOUNTUB, EQ, 21-Dec-2022,17.1,17.1,17.95,17.1, 17.95,17.95,17.91,150633,26.98,343, 109902, 72.96,4.970760233918116
23,643,GICL, SM, 21-Dec-2022,42.65,42.65,44.75,42.65, 44.75,44.75,43.7,6000,2.62,2, 6000, 100.00,4.923798358733884
24,597,FINPIPE, EQ, 21-Dec-2022,176.25,177.15,191.0,176.9, 183.65,185.8,187.77,6145022,11538.64,58573, 1597137, 25.99,4.882867626305394
