,index,SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,gainpercentage
0,1067,KABRAEXTRU, EQ, 21-Nov-2022,414.6,415.05,497.5,409.05, 497.50,496.6,480.2,1519347,7295.86,38711, 362291, 23.85,19.64823515239128
1,98,ALPA, EQ, 21-Nov-2022,49.3,49.7,59.15,49.0, 59.15,59.15,57.17,483105,276.18,3684, 196969, 40.77,19.014084507042245
2,2169,UCOBANK, EQ, 21-Nov-2022,15.75,15.75,18.9,15.7, 18.90,18.65,17.92,137071823,24559.79,106539, 36725465, 26.79,18.412698412698404
3,1924,SKIPPER, EQ, 21-Nov-2022,70.9,72.8,85.05,72.5, 85.05,85.05,81.19,1979872,1607.41,13392, 1010059, 51.02,16.826923076923077
4,2046,SWANENERGY, EQ, 21-Nov-2022,224.1,222.0,264.0,222.0, 251.40,255.95,256.35,3936477,10091.07,58867, 453220, 11.51,15.292792792792786
5,1024,JIKIND, BZ, 21-Nov-2022,0.75,0.7,0.8,0.7, 0.80,0.8,0.75,29142,0.22,56, -, -,14.285714285714299
6,1062,JUNIORBEES, EQ, 21-Nov-2022,451.32,392.6,454.0,392.6, 448.53,448.58,449.01,77159,346.45,6962, 57926, 75.07,14.25878757004584
7,1240,MAHABANK, EQ, 21-Nov-2022,25.1,25.35,29.5,25.2, 28.85,28.8,27.79,159453816,44304.62,127099, 29595764, 18.56,13.6094674556213
8,1926,SKP, SM, 21-Nov-2022,217.65,217.65,246.0,217.65, 244.00,243.1,239.13,79000,188.91,75, 63000, 79.75,11.693085228577987
9,408,CREATIVE, EQ, 21-Nov-2022,467.4,465.0,544.0,465.0, 519.80,516.75,515.37,80059,412.6,2582, 31553, 39.41,11.129032258064516
10,1426,NGIL, EQ, 21-Nov-2022,90.45,85.95,94.95,85.95, 94.95,94.95,88.13,115481,101.77,1146, 71109, 61.58,10.471204188481675
11,1673,REFEX, EQ, 21-Nov-2022,225.55,225.0,248.1,223.1, 248.10,248.1,243.74,532539,1298.03,5712, 264571, 49.68,10.266666666666664
12,458,DESTINY, SM, 21-Nov-2022,19.5,18.55,20.45,18.55, 20.45,20.45,19.18,18000,3.45,3, 12000, 66.67,10.24258760107816
13,1158,KSHITIJPOL, BE, 21-Nov-2022,42.65,40.65,44.75,40.65, 44.75,44.75,43.46,3855962,1675.89,12399, -, -,10.086100861008614
14,635,GANGAFORGE, EQ, 21-Nov-2022,4.05,4.05,4.55,4.05, 4.55,4.45,4.29,529600,22.74,836, 428823, 80.97,9.876543209876552
15,1615,PSB, EQ, 21-Nov-2022,18.85,19.3,21.7,19.05, 21.55,21.2,20.54,13148192,2700.59,16704, 4331256, 32.94,9.84455958549222
16,1001,IZMO, EQ, 21-Nov-2022,78.65,79.0,89.25,78.05, 85.25,86.45,85.64,455460,390.05,4930, 180803, 39.70,9.430379746835445
17,351,CENTRALBK, EQ, 21-Nov-2022,23.55,23.6,26.45,23.55, 25.85,25.75,25.3,85500770,21632.85,72507, 20603926, 24.10,9.110169491525417
18,960,IOB, EQ, 21-Nov-2022,21.35,21.5,23.75,21.3, 23.50,23.45,22.95,81532890,18712.92,62809, 17680205, 21.68,9.069767441860462
19,882,IFCI, EQ, 21-Nov-2022,11.7,11.6,12.8,11.6, 12.65,12.65,12.47,24547809,3061.76,17515, 10835628, 44.14,9.051724137931041
20,575,ESCORTS, EQ, 21-Nov-2022,2030.85,2023.0,2207.0,2011.25, 2188.00,2196.05,2153.35,3604331,77613.88,135654, 366792, 10.18,8.554127533366298
21,519,EASEMYTRIP, EQ, 21-Nov-2022,381.95,53.0,57.3,51.7, 57.30,57.3,55.59,85919470,47766.87,141789, 14650413, 17.05,8.113207547169806
22,1234,MADRASFERT, EQ, 21-Nov-2022,44.75,45.0,49.2,44.6, 48.80,48.6,47.69,1083340,516.66,5452, 260808, 24.07,8.000000000000004
23,481,DISHTV, EQ, 21-Nov-2022,16.35,16.4,18.1,16.0, 17.45,17.7,17.44,45804881,7987.77,23530, 20005209, 43.67,7.926829268292688
24,1895,SHUBHLAXMI, SM, 21-Nov-2022,45.5,42.7,46.0,42.7, 45.50,45.9,45.49,8000,3.64,6, 7000, 87.50,7.494145199063221
