,SYMBOL,gainpercentage
0,FACT,20.225624496373896
1,MADRASFERT,20.04889975550123
2,INDBANK,15.279878971255686
3,SWASTIK,14.205256570713384
4,AGROPHOS,13.359788359788372
5,GREENPOWER,12.432432432432435
6,UCL,12.057877813504822
7,MIRCELECTR,11.656441717791402
8,INDIANCARD,11.47340034322138
9,ARIES,11.413215301928538
10,GICRE,10.687499999999996
11,NFL,10.441767068273093
12,EMAMIREAL,10.000000000000004
13,SHAHALLOYS,9.991809991810007
14,PROZONINTU,9.775967413441949
15,IOB,8.59375
16,MTNL,8.576998050682274
17,NAVA,8.527755430410302
18,UCOBANK,8.206686930091195
19,MHHL,7.995846313603326
20,DHANBANK,7.93991416309012
21,MAHINDCIE,7.825342465753432
22,KHAICHEM,7.779255319148929
23,UNIENTER,7.161803713527864
24,LAXMICOT,7.157894736842102
