,index,SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,gainpercentage
0,306,BRIGHT, SM, 17-Nov-2022,4.9,4.9,5.85,4.9, 5.85,5.85,5.59,939000,52.5,188, 666000, 70.93,19.387755102040803
1,2083,TIMKEN, EQ, 17-Nov-2022,2921.7,2955.0,3506.0,2955.0, 3506.00,3506.0,3313.41,2134356,70719.9,139227, 404080, 18.93,18.646362098138745
2,1030,JSLL, SM, 17-Nov-2022,177.05,180.0,212.45,173.65, 212.45,211.65,199.11,274000,545.56,246, 210000, 76.64,17.583333333333336
3,1924,SREIBNPNCD, NU, 17-Nov-2022,181.0,165.1,189.9,165.1, 189.90,189.9,178.68,179,0.32,7, 81, 45.25,15.021199273167785
4,1041,JUNIORBEES, EQ, 17-Nov-2022,457.07,397.7,460.0,397.7, 454.00,453.61,454.74,65460,297.67,4456, 38002, 58.05,14.058335428715118
5,140,ARCHIES, EQ, 17-Nov-2022,22.45,22.95,26.5,22.3, 26.00,26.1,25.19,2667261,671.87,9406, 1222011, 45.82,13.725490196078441
6,971,ISFT, EQ, 17-Nov-2022,117.35,118.0,135.0,117.9, 134.50,132.75,132.07,168721,222.84,4822, 46046, 27.29,12.5
7,2178,VCL, EQ, 17-Nov-2022,9.45,9.35,10.7,9.35, 10.55,10.5,10.35,2106423,217.92,4176, 1331599, 63.22,12.299465240641716
8,1416,NIDAN, SM, 17-Nov-2022,53.1,52.05,58.35,50.0, 57.80,57.8,53.88,41000,22.09,31, 31000, 75.61,11.047070124879923
9,552,ENGINERSIN, EQ, 17-Nov-2022,73.3,73.1,81.2,72.85, 80.65,80.7,79.15,37914178,30007.21,108510, 9289822, 24.50,10.396716826265402
10,395,COOLCAPS, SM, 17-Nov-2022,191.0,195.35,216.0,195.35, 215.00,215.0,207.75,21750,45.19,29, 21000, 96.55,10.058868697210139
11,664,GOACARBON, EQ, 17-Nov-2022,568.5,568.5,625.35,568.5, 625.35,625.35,608.95,648180,3947.08,17291, 288956, 44.58,10.000000000000004
12,1898,SOLEX, SM, 17-Nov-2022,244.4,235.1,256.6,232.2, 256.60,256.6,239.94,18000,43.19,8, 14000, 77.78,9.145044661846036
13,358,CHEMBOND, EQ, 17-Nov-2022,239.75,241.0,269.7,238.05, 261.80,262.75,259.54,594152,1542.09,13993, 204345, 34.39,9.024896265560166
14,269,BHAGERIA, EQ, 17-Nov-2022,160.45,158.0,173.0,158.0, 171.35,171.1,167.91,91289,153.29,2523, 52497, 57.51,8.291139240506325
15,2079,TIL, BZ, 17-Nov-2022,86.05,82.0,90.35,81.75, 90.35,88.65,83.47,26403,22.04,211, -, -,8.109756097560982
16,1860,SHYAMTEL, BE, 17-Nov-2022,9.8,9.4,10.15,9.35, 10.10,10.1,9.83,114,0.01,11, -, -,7.446808510638291
17,492,DREDGECORP, EQ, 17-Nov-2022,390.05,387.3,419.7,386.5, 411.50,414.8,405.68,751650,3049.32,21118, 182637, 24.30,7.100438936225148
18,725,HARIOMPIPE, EQ, 17-Nov-2022,264.35,264.95,286.8,260.0, 282.00,283.75,275.61,271101,747.19,8103, 144936, 53.46,7.095678429892437
19,509,E2E, BE, 17-Nov-2022,178.7,170.2,186.6,170.2, 186.00,182.15,175.74,7638,13.42,97, -, -,7.021151586368989
20,1091,KIRLOSENG, EQ, 17-Nov-2022,321.9,322.0,347.7,315.5, 345.00,343.9,336.02,2114190,7104.1,43992, 450863, 21.33,6.801242236024837
21,735,HCC, EQ, 17-Nov-2022,15.55,15.7,17.1,15.25, 16.85,16.75,16.48,113096435,18636.96,43669, 46427805, 41.05,6.68789808917198
22,2199,VINDHYATEL, EQ, 17-Nov-2022,1398.3,1411.0,1520.0,1396.15, 1518.00,1505.2,1484.99,142492,2116.0,14325, 47508, 33.34,6.676116229624383
23,601,FOODSIN, EQ, 17-Nov-2022,117.8,119.0,129.7,118.65, 127.95,126.85,126.02,1559674,1965.45,17231, 717612, 46.01,6.596638655462179
24,226,BALMLAWRIE, EQ, 17-Nov-2022,113.75,113.85,123.2,113.25, 120.90,121.05,120.74,2428221,2931.78,26148, 799103, 32.91,6.3241106719367615
