,index,SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,gainpercentage
0,1443,NHBTF2023, N1, 19-Dec-2022,10175.0,8141.0,10200.0,8141.0,10200.0,10200.0,9170.5,14,1.28,2, 7, 50.00,25.291733202309295
1,682,GOCLCORP, EQ, 19-Dec-2022,344.5,344.5,413.0,344.5,404.9,406.8,392.3,904088,3546.76,27776, 224655, 24.85,18.08417997097243
2,1980,SREIBNPNCD, NW, 19-Dec-2022,189.9,153.0,179.9,153.0,179.85,179.8,178.78,285,0.51,10, 285, 100.00,17.516339869281055
3,1623,PROZONINTU, EQ, 19-Dec-2022,27.8,28.0,33.0,28.0,32.7,32.55,31.06,5531351,1717.99,13730, 2376398, 42.96,16.24999999999999
4,2027,SUNFLAG, EQ, 19-Dec-2022,94.3,95.0,109.9,95.0,109.5,107.55,104.09,3052908,3177.64,28834, 1132717, 37.10,13.210526315789469
5,1220,LSIL, EQ, 19-Dec-2022,14.95,15.25,17.65,15.2,17.65,17.25,16.7,31925725,5332.12,28156, 12613908, 39.51,13.114754098360656
6,1965,SPECIALITY, EQ, 19-Dec-2022,197.85,199.95,233.4,199.95,227.5,226.1,221.88,1049492,2328.6,15884, 513167, 48.90,13.078269567391851
7,1573,PILITA, EQ, 19-Dec-2022,8.05,8.05,9.25,8.05,9.05,9.1,8.83,2966407,262.02,3155, 1762623, 59.42,13.04347826086955
8,1282,MARATHON, EQ, 19-Dec-2022,244.45,244.45,287.8,242.4,278.9,276.25,270.83,383424,1038.42,8617, 139904, 36.49,13.008795254653307
9,658,GICRE, EQ, 19-Dec-2022,166.65,166.65,192.85,165.65,185.15,187.35,185.33,24225026,44895.79,144301, 2430893, 10.03,12.421242124212414
10,1919,SILINV, EQ, 19-Dec-2022,347.4,349.75,407.7,342.5,396.05,392.1,386.91,58989,228.24,2945, 28302, 47.98,12.108649035025024
11,1336,MIRCELECTR, EQ, 19-Dec-2022,17.55,17.85,20.8,17.6,20.0,20.0,19.59,6051924,1185.81,9434, 3115924, 51.49,12.04481792717086
12,433,DALMIASUG, EQ, 19-Dec-2022,367.45,374.7,440.9,374.65,417.8,418.8,428.09,2917850,12490.88,46839, 517612, 17.74,11.769415532425947
13,1924,SIMBHALS, EQ, 19-Dec-2022,27.95,30.05,33.5,30.05,33.5,33.5,33.06,4267087,1410.61,7035, 1125134, 26.37,11.48086522462562
14,715,GREENPOWER, EQ, 19-Dec-2022,11.05,11.35,13.25,11.25,12.65,12.65,12.74,91970871,11712.94,48997, 24132030, 26.24,11.453744493392078
15,1518,ORTINLAB, EQ, 19-Dec-2022,23.0,23.45,27.0,22.8,26.45,26.1,25.54,649634,165.93,2922, 288545, 44.42,11.300639658848624
16,1545,PDMJEPAPER, EQ, 19-Dec-2022,45.6,45.6,51.5,45.25,50.95,50.75,49.8,2553712,1271.85,12299, 954568, 37.38,11.293859649122803
17,583,EUROTEXIND, EQ, 19-Dec-2022,11.8,10.85,12.3,10.85,12.0,12.0,11.92,10325,1.23,60, 2041, 19.77,10.59907834101383
18,1964,SPCENET, BE, 19-Dec-2022,27.0,25.65,28.35,25.65,28.35,28.35,26.77,758814,203.17,826, -, -,10.526315789473696
19,2209,USHAMART, EQ, 19-Dec-2022,132.6,133.85,153.7,133.45,149.0,147.9,145.94,5554944,8106.99,42396, 2302321, 41.45,10.496824803884955
20,657,GICHSGFIN, EQ, 19-Dec-2022,189.15,189.85,212.4,183.05,211.2,209.6,202.63,4330691,8775.39,50254, 805347, 18.60,10.402949697129312
21,621,FRETAIL, BZ, 19-Dec-2022,3.05,2.9,3.2,2.9,3.2,3.2,2.98,2613727,77.92,4747, -, -,10.344827586206906
22,1817,SEYAIND, BE, 19-Dec-2022,26.45,25.15,27.75,25.15,27.75,27.75,25.98,39181,10.18,174, -, -,10.337972166998018
23,1147,KOTARISUG, EQ, 19-Dec-2022,45.3,46.05,52.95,46.05,50.95,50.65,50.7,7401632,3752.41,27141, 2157673, 29.15,9.989142236699243
24,1289,MASKINVEST, BE, 19-Dec-2022,110.1,104.6,115.6,104.6,115.0,115.0,106.27,14462,15.37,178, -, -,9.942638623326966
