,SYMBOL,gainpercentage
0,SAKHTISUG,20.083682008368207
1,RAJSREESUG,18.696581196581196
2,SIMBHALS,17.932489451476794
3,FACT,17.733450241122323
4,MADRASFERT,16.942422236929183
5,MAWANASUG,16.823529411764703
6,RANASUG,16.30901287553648
7,UGARSUGAR,16.21776504297995
8,AGROPHOS,15.519253208868141
9,KCPSUGIND,15.019762845849804
10,MHLXMIRU,14.97685185185185
11,EPL,13.720238095238102
12,PAVNAIND,12.921615201900233
13,SILINV,11.99226305609284
14,GOKUL,11.608391608391605
15,THEMISMED,11.527999999999992
16,PONNIERODE,11.33901487794309
17,KOHINOOR,11.21856866537717
18,AROGRANITE,11.010215664018165
19,NFL,10.802919708029206
20,EXCEL,10.000000000000009
21,BAJAJHIND,9.935897435897429
22,VISHWARAJ,9.302325581395356
23,COUNCODOS,9.278350515463922
24,PALREDTEC,9.204882876938296
