,SYMBOL,gainpercentage
0,BLBLIMITED,14.832535885167472
1,CREATIVE,14.789008832188424
2,FACT,12.555485098287896
3,MCL,12.355848434925864
4,SUZLONPP,12.230215827338125
5,MHHL,11.11111111111111
6,DHANBANK,10.45576407506704
7,SUZLON,10.215053763440851
8,JSL,10.079712008228348
9,SEPC,10.000000000000004
10,SALASAR,9.999999999999996
11,ROSSELLIND,9.623824451410655
12,SOFTTECH,9.507445589919831
13,JPPOWER,9.210526315789489
14,HECPROJECT,8.75706214689266
15,TEMBO,8.68181818181818
16,VINNY,8.572869389813413
17,TIPSFILMS,8.522975929978116
18,WABAG,8.339450888268969
19,NELCAST,8.261287223823254
20,MGEL,8.258258258258259
21,NFL,8.24034334763948
22,SBC,8.13559322033898
23,TOTAL,8.121019108280255
24,TRACXN,8.038768529076393
