,index,SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,gainpercentage
0,868,IBULHSGFIN, YU, 28-Nov-2022,1000.0,815.2,1000.0,815.2, 1000.00,1000.0,907.6,600,5.45,4, 0, 0.00,22.669283611383705
1,2029,STCINDIA, EQ, 28-Nov-2022,87.75,87.0,105.3,87.0, 105.30,104.85,98.74,1410058,1392.24,12736, 395613, 28.06,20.517241379310338
2,436,DAMODARIND, EQ, 28-Nov-2022,49.7,50.0,59.6,49.0, 59.60,59.6,58.15,1303650,758.06,4760, 398591, 30.58,19.200000000000003
3,1402,MSTCLTD, EQ, 28-Nov-2022,282.35,290.0,338.8,290.0, 338.80,338.8,319.55,5196961,16607.05,71173, 1590665, 30.61,16.827586206896555
4,1687,RAMCOSYS, EQ, 28-Nov-2022,239.75,240.0,283.45,240.0, 276.50,278.65,272.28,1191357,3243.83,22611, 313224, 26.29,16.104166666666657
5,1586,PFOCUS, EQ, 28-Nov-2022,68.55,69.9,82.25,67.0, 82.25,81.1,77.43,976527,756.1,6397, 427053, 43.73,16.022889842632317
6,899,ICICITECH, EQ, 28-Nov-2022,31.5,27.4,31.87,27.4, 31.57,31.54,31.73,1314434,417.12,1262, 1128667, 85.87,15.109489051094894
7,1351,MHHL, SM, 28-Nov-2022,42.3,43.9,50.75,43.9, 50.75,49.8,48.5,294000,142.58,94, 246000, 83.67,13.439635535307515
8,1808,SBC, EQ, 28-Nov-2022,11.05,11.05,12.75,11.0, 12.50,12.5,11.95,8906599,1064.68,9014, 3236946, 36.34,13.12217194570135
9,1649,PROZONINTU, EQ, 28-Nov-2022,21.75,21.9,26.1,21.9, 24.85,24.75,25.15,4012764,1009.08,10739, 1367643, 34.08,13.013698630136993
10,1730,RICOAUTO, EQ, 28-Nov-2022,60.9,61.45,69.95,61.25, 69.35,69.15,66.6,8090326,5388.48,36217, 3042414, 37.61,12.530512611879582
11,1838,SETCO, EQ, 28-Nov-2022,10.85,11.2,12.7,10.9, 12.55,12.5,12.11,1253265,151.81,2722, 654301, 52.21,11.607142857142865
12,1071,JKTYRE, EQ, 28-Nov-2022,172.95,174.0,196.8,173.45, 195.45,193.55,188.02,16105992,30283.09,100011, 3176974, 19.73,11.235632183908052
13,2092,TANLA, EQ, 28-Nov-2022,737.5,736.2,849.0,736.15, 816.50,818.4,822.43,5591154,45983.11,131418, 704265, 12.60,11.165444172779127
14,528,DYNPROPP, E1, 28-Nov-2022,145.0,135.0,152.05,133.95, 150.00,150.0,144.32,624,0.9,48, 29, 4.65,11.11111111111111
15,979,INNOVANA, SM, 28-Nov-2022,417.0,396.25,437.85,396.25, 437.85,437.85,419.53,9000,37.76,8, 9000, 100.00,10.49842271293376
16,1335,MEDICO, BE, 28-Nov-2022,283.85,269.7,298.0,269.7, 298.00,298.0,284.78,154608,440.29,523, -, -,10.493140526510942
17,285,BIKAJI, EQ, 28-Nov-2022,391.85,387.0,431.0,387.0, 421.15,427.35,416.76,6560933,27343.34,92315, 1922918, 29.31,10.426356589147293
18,485,DHRUV, EQ, 28-Nov-2022,56.85,56.25,67.7,56.1, 61.50,61.95,63.04,172175,108.54,1934, 66366, 38.55,10.133333333333338
19,1633,PRECISION, SM, 28-Nov-2022,39.5,39.95,45.35,39.95, 43.00,43.95,43.56,322000,140.26,127, 128000, 39.75,10.012515644555695
20,481,DHANILOANS, NX, 28-Nov-2022,1030.0,900.0,990.0,900.0, 990.00,990.0,989.91,1001,9.91,27, 1001, 100.00,10.0
21,711,GOLDSTAR, SM, 28-Nov-2022,77.5,74.0,81.35,74.0, 81.35,81.35,77.01,198000,152.48,12, 138000, 69.70,9.932432432432424
22,2205,UGARSUGAR, EQ, 28-Nov-2022,81.4,81.95,93.7,80.85, 90.70,89.85,89.19,5770751,5146.69,34785, 1711476, 29.66,9.640024405125065
23,35,AARVI, EQ, 28-Nov-2022,169.0,169.6,185.9,169.05, 185.90,185.9,181.05,130956,237.09,2489, 69569, 53.12,9.610849056603781
24,1391,MOREPENLAB, EQ, 28-Nov-2022,28.85,28.95,32.45,28.85, 31.85,31.7,31.55,10947730,3454.25,25341, 3432326, 31.35,9.499136442141625
