,index,SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,gainpercentage
0,1726,SADBHAV, EQ, 22-Nov-2022,11.0,10.9,13.2,10.9, 13.20,13.2,12.51,3606313,451.07,5423, 1818550, 50.43,21.100917431192652
1,2267,WELINV, EQ, 22-Nov-2022,271.8,277.15,326.15,266.1, 326.15,326.15,317.61,14496,46.04,492, 11187, 77.17,17.679956702146853
2,1119,KOPRAN, EQ, 22-Nov-2022,135.85,135.85,162.8,133.6, 159.50,159.85,154.17,2114994,3260.77,27425, 349194, 16.51,17.666543982333458
3,2248,VMARCIND, SM, 22-Nov-2022,49.05,49.35,58.85,49.0, 58.85,58.0,54.35,450000,244.57,142, 243000, 54.00,17.52786220871327
4,80,AIROLAM, EQ, 22-Nov-2022,80.05,80.0,96.05,80.0, 92.10,93.95,93.05,480752,447.32,5762, 95728, 19.91,17.437500000000004
5,319,BSL, EQ, 22-Nov-2022,150.2,154.55,180.2,151.3, 180.20,179.05,172.74,371010,640.89,8348, 119919, 32.32,15.852474927208021
6,1058,JUNIORBEES, EQ, 22-Nov-2022,448.58,390.3,451.8,390.3, 449.40,449.39,448.81,55404,248.66,3885, 34336, 61.97,15.139636177299506
7,516,EASEMYTRIP, EQ, 22-Nov-2022,57.3,59.55,68.75,59.5, 67.55,68.4,65.49,97838470,64075.65,236472, 13573149, 13.87,14.861460957178856
8,1287,MAZDOCK, EQ, 22-Nov-2022,773.8,766.0,878.45,748.25, 861.90,866.75,830.17,16870437,140053.3,274133, 956735, 5.67,13.152741514360313
9,1904,SINTERCOM, EQ, 22-Nov-2022,100.65,101.0,117.5,101.0, 114.30,114.1,109.6,253985,278.37,2148, 132316, 52.10,12.970297029702966
10,1203,LOTUSEYE, EQ, 22-Nov-2022,78.75,79.0,90.65,79.0, 88.80,89.05,87.54,762239,667.25,10124, 250422, 32.85,12.721518987341767
11,470,DHANILOANS, NW, 22-Nov-2022,950.0,865.0,975.0,865.0, 975.00,975.0,920.0,16,0.15,2, 8, 50.00,12.716763005780345
12,1325,MIRZAINT, EQ, 22-Nov-2022,276.5,277.6,314.3,270.0, 310.80,311.4,300.95,1764839,5311.33,37486, 606042, 34.34,12.175792507204594
13,796,HITECH, EQ, 22-Nov-2022,628.05,641.55,740.0,639.1, 721.95,717.85,693.38,1218961,8452.07,29196, 532371, 43.67,11.893071467539563
14,1762,SBCL, EQ, 22-Nov-2022,378.3,375.0,429.25,375.0, 416.75,418.55,414.08,466376,1931.15,25171, 84094, 18.03,11.613333333333337
15,1458,NRL, SM, 22-Nov-2022,286.9,279.1,314.4,279.1, 308.00,310.5,298.18,266750,795.39,251, 168850, 63.30,11.250447868147608
16,467,DHANILOANS, N8, 22-Nov-2022,1300.01,1300.1,1438.0,1300.1, 1437.90,1437.9,1369.05,190,2.6,4, 0, 0.00,10.599184678101699
17,952,INNOVANA, SM, 22-Nov-2022,383.25,365.25,402.4,365.0, 402.40,402.4,387.41,5000,19.37,5, 5000, 100.00,10.17111567419575
18,621,GANDHITUBE, EQ, 22-Nov-2022,510.3,508.1,572.05,508.1, 560.00,558.05,555.73,62171,345.5,3678, 30655, 49.31,9.830741979925198
19,514,DYNPROPP, E1, 22-Nov-2022,146.5,136.95,159.0,136.95, 150.00,150.0,144.42,1438,2.08,32, 817, 56.82,9.529025191675803
20,991,ISMTLTD, EQ, 22-Nov-2022,46.55,46.5,53.0,46.5, 50.50,50.85,50.91,1181795,601.63,6408, 431554, 36.52,9.354838709677422
21,2262,WEALTH, EQ, 22-Nov-2022,272.95,272.1,322.1,267.95, 295.00,297.05,287.47,2045,5.88,189, 686, 33.55,9.169423006247698
22,711,GRSE, EQ, 22-Nov-2022,475.95,473.0,518.8,470.0, 516.00,516.0,503.73,3051334,15370.5,48888, 549234, 18.00,9.090909090909092
23,154,ARSHIYA, EQ, 22-Nov-2022,9.5,9.15,9.95,9.05, 9.95,9.95,9.6,1210474,116.24,1128, 695569, 57.46,8.743169398907092
24,1504,OSWALSEEDS, SM, 22-Nov-2022,218.45,210.0,228.4,207.55, 228.40,228.3,218.53,144000,314.69,58, 62000, 43.06,8.71428571428572
