,index,SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,gainpercentage
0,2323,YAARI, EQ, 05-Dec-2022,22.15,22.35,26.55,22.35, 26.55,26.55,25.44,5411547,1376.5,9708, 2402520, 44.40,18.791946308724828
1,1820,SEPC, EQ, 05-Dec-2022,8.2,8.3,9.8,8.1, 9.70,9.7,9.42,5412496,510.02,3815, 3484021, 64.37,16.867469879518055
2,1100,KAUSHALYA, EQ, 05-Dec-2022,4.7,4.8,5.6,4.7, 5.60,5.6,5.39,314270,16.93,446, 229036, 72.88,16.666666666666664
3,1794,SATIN, EQ, 05-Dec-2022,145.9,147.4,173.4,146.2, 169.25,171.5,163.87,1993709,3267.07,26809, 523337, 26.25,16.35006784260515
4,1760,SADBHAV, EQ, 05-Dec-2022,17.5,18.0,21.0,17.8, 21.00,20.8,19.56,7938812,1552.6,13617, 3965913, 49.96,15.555555555555559
5,1079,JUNIORBEES, EQ, 05-Dec-2022,463.99,403.7,468.4,403.7, 463.50,463.74,463.05,114124,528.45,12182, 68852, 60.33,14.872430022293786
6,103,ALPA, EQ, 05-Dec-2022,54.75,55.0,64.9,53.45, 63.50,63.1,62.08,714640,443.64,5290, 237816, 33.28,14.72727272727273
7,413,COUNCODOS, EQ, 05-Dec-2022,4.9,5.1,5.85,4.8, 5.85,5.85,5.52,2544557,140.38,2900, 1049043, 41.23,14.705882352941178
8,1898,SHARDACROP, EQ, 05-Dec-2022,434.45,437.0,513.0,435.2, 495.65,498.15,492.6,5637368,27769.68,117606, 381642, 6.77,13.993135011441643
9,1402,NAGREEKEXP, EQ, 05-Dec-2022,42.05,42.15,50.45,41.8, 48.10,47.85,48.21,572084,275.79,2943, 142689, 24.94,13.523131672597872
10,737,GTLINFRA, EQ, 05-Dec-2022,1.3,1.25,1.4,1.25, 1.40,1.4,1.33,44024099,586.25,11908, 42880290, 97.40,11.999999999999993
11,959,INDTERRAIN, EQ, 05-Dec-2022,76.45,76.75,87.2,76.75, 86.70,85.95,83.95,3622172,3040.66,29039, 1124423, 31.04,11.986970684039091
12,1532,ORTEL, BZ, 05-Dec-2022,1.0,0.95,1.05,0.95, 1.05,1.05,1.03,1321,0.01,7, -, -,10.526315789473696
13,1166,KRISHIVAL, SM, 05-Dec-2022,247.0,234.65,259.35,234.65, 259.35,259.05,246.78,12000,29.61,12, 8000, 66.67,10.398465800127852
14,1055,JKLAKSHMI, EQ, 05-Dec-2022,748.55,748.55,834.75,747.0, 822.90,825.35,800.9,3968081,31780.24,84372, 822641, 20.73,10.25983568231916
15,818,HITECHGEAR, EQ, 05-Dec-2022,261.15,261.15,290.0,261.15, 289.50,287.75,281.83,62539,176.26,1777, 38677, 61.84,10.185717020869243
16,129,ANSALAPI, BE, 05-Dec-2022,14.45,13.75,15.15,13.75, 15.15,15.15,14.21,5515216,783.94,2128, -, -,10.181818181818185
17,2118,TEGA, EQ, 05-Dec-2022,572.0,572.0,629.2,572.0, 629.20,629.2,609.21,463153,2821.6,16807, 196858, 42.50,10.000000000000007
18,736,GTL, EQ, 05-Dec-2022,7.55,7.55,8.3,7.55, 8.30,8.3,8.2,1633127,133.95,1177, 1086527, 66.53,9.933774834437099
19,1380,MPTODAY, SM, 05-Dec-2022,38.9,37.0,40.5,37.0, 40.50,40.5,38.0,8000,3.04,4, 8000, 100.00,9.45945945945946
20,225,BAJAJHIND, EQ, 05-Dec-2022,13.5,14.8,16.2,14.6, 16.20,16.2,15.92,188055128,29941.84,78965, 53166983, 28.27,9.459459459459449
21,2125,TFCILTD, EQ, 05-Dec-2022,78.35,78.0,87.1,77.95, 85.60,85.35,84.31,4299223,3624.61,22207, 1794731, 41.75,9.423076923076916
22,2174,TTKHLTCARE, EQ, 05-Dec-2022,910.05,923.65,1039.0,915.3, 988.25,1009.45,989.56,98514,974.86,5660, 37221, 37.78,9.289232934553139
23,605,FELIX, SM, 05-Dec-2022,69.2,66.5,72.65,66.25, 72.60,72.6,69.29,44000,30.49,11, 32000, 72.73,9.17293233082706
24,1109,KECL, EQ, 05-Dec-2022,74.9,72.0,78.6,71.3, 78.60,78.6,76.13,1237919,942.46,6558, 478243, 38.63,9.166666666666659
