,index,SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,gainpercentage
0,279,BIOFILCHEM, EQ, 18-Nov-2022,49.5,49.95,59.4,48.95, 59.40,59.2,58.48,1300898,760.81,8894, 284553, 21.87,18.51851851851852
1,1038,JSLL, SM, 18-Nov-2022,211.65,215.8,253.95,215.8, 253.95,253.95,239.31,311000,744.27,283, 208000, 66.88,17.678405931417966
2,872,IFBIND, EQ, 18-Nov-2022,934.5,935.4,1111.0,935.0, 1045.00,1084.5,1047.73,1322006,13851.04,58046, 88083, 6.66,15.939704939063503
3,2135,UCL, SM, 18-Nov-2022,59.2,59.0,71.0,59.0, 67.00,67.2,62.1,330000,204.94,55, 304000, 92.12,13.898305084745768
4,2177,VAISHALI, EQ, 18-Nov-2022,98.7,100.0,114.8,99.1, 113.00,112.85,111.16,1232525,1370.04,11307, 492821, 39.98,12.849999999999994
5,171,ATALREAL, SM, 18-Nov-2022,58.0,58.0,67.0,57.25, 66.00,65.0,60.62,408000,247.31,61, 273600, 67.06,12.068965517241379
6,1875,SIKKO, BE, 18-Nov-2022,111.15,105.6,116.7,105.6, 116.70,116.7,110.06,62400,68.68,942, -, -,10.511363636363646
7,1982,SUMIT, BE, 18-Nov-2022,21.45,20.4,22.5,20.4, 22.50,22.5,21.29,336323,71.61,404, -, -,10.294117647058831
8,2113,TREEHOUSE, BE, 18-Nov-2022,19.0,18.1,19.95,18.1, 19.95,19.95,19.67,50989,10.03,240, -, -,10.22099447513811
9,1662,REVATHI, EQ, 18-Nov-2022,1010.2,1024.0,1136.8,1015.0, 1128.00,1126.6,1103.73,90321,996.9,9553, 27660, 30.62,10.019531249999991
10,1515,PCJEWELLER, BE, 18-Nov-2022,77.1,73.65,80.95,73.65, 80.95,80.95,77.14,1992659,1537.12,4362, -, -,9.911744738628645
11,85,ALICON, EQ, 18-Nov-2022,962.75,976.0,1083.0,969.0, 1083.00,1071.6,1042.1,257745,2685.96,16762, 82674, 32.08,9.795081967213106
12,601,FOCUS, EQ, 18-Nov-2022,233.05,234.95,256.35,232.5, 256.35,256.35,248.72,176926,440.05,1719, 102567, 57.97,9.108320919344557
13,856,ICICINXT50, EQ, 18-Nov-2022,44.16,40.2,44.57,40.2, 43.79,43.83,43.84,36906,16.18,953, 21685, 58.76,9.029850746268645
14,1915,SONUINFRA, SM, 18-Nov-2022,38.0,36.7,41.0,35.3, 40.00,40.0,38.82,51000,19.8,17, 45000, 88.24,8.99182561307901
15,799,HONDAPOWER, EQ, 18-Nov-2022,2150.05,2200.0,2450.0,2173.05, 2355.00,2393.0,2371.76,396269,9398.56,41316, 74940, 18.91,8.772727272727272
16,992,IZMO, EQ, 18-Nov-2022,72.25,72.4,82.75,71.9, 79.00,78.65,79.66,387980,309.08,3877, 164332, 42.36,8.632596685082872
17,1874,SIGMA, SM, 18-Nov-2022,213.05,204.4,222.0,204.0, 222.00,222.0,212.46,4500,9.56,6, 3000, 66.67,8.6105675146771
18,1299,MHHL, SM, 18-Nov-2022,37.45,39.7,44.4,39.7, 43.30,43.1,42.39,117000,49.6,37, 99000, 84.62,8.56423173803526
19,1107,KOKUYOCMLN, EQ, 18-Nov-2022,75.9,76.9,84.5,76.0, 84.35,83.45,81.67,1790173,1462.11,11709, 813228, 45.43,8.51755526657997
20,1851,SHIVALIK, EQ, 18-Nov-2022,747.85,740.2,817.4,740.2, 799.00,803.2,789.58,20895,164.98,2332, 11134, 53.29,8.511213185625506
21,2216,VISESHINFO, BE, 18-Nov-2022,0.6,0.6,0.65,0.6, 0.65,0.65,0.63,7957724,50.31,3348, -, -,8.333333333333341
22,377,COASTPP, E1, 18-Nov-2022,95.1,95.05,103.95,95.05, 102.90,102.9,99.87,3052,3.05,92, 1946, 63.76,8.25881115202526
23,411,CYBERMEDIA, EQ, 18-Nov-2022,18.8,18.2,19.7,18.15, 19.70,19.7,19.4,58113,11.27,247, 45714, 78.66,8.241758241758241
24,1219,MAHABANK, EQ, 18-Nov-2022,23.1,23.25,25.65,23.2, 25.25,25.1,25.02,86922337,21748.14,75460, 20124110, 23.15,7.956989247311834
