,index,SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,gainpercentage
0,1780,SECL, SM, 22-Dec-2022,336.15,306.1,369.75,302.55, 369.75,369.75,348.46,58750,204.72,43, 18750, 31.91,20.793858216269186
1,712,GREENPOWER, EQ, 22-Dec-2022,10.45,10.7,12.35,9.95, 12.10,12.1,11.2,28840760,3229.89,23150, 13990160, 48.51,13.084112149532714
2,832,HUHTAMAKI, EQ, 22-Dec-2022,196.65,195.95,224.95,187.65, 220.00,220.8,214.19,1682348,3603.44,24631, 451579, 26.84,12.681806583312083
3,458,DESTINY, SM, 22-Dec-2022,19.65,18.7,20.6,18.7, 20.60,20.6,20.49,234000,47.94,20, 222000, 94.87,10.160427807486643
4,1023,JBMA, EQ, 22-Dec-2022,442.0,450.0,504.0,431.1, 483.60,493.45,486.18,2594691,12614.74,69042, 349934, 13.49,9.655555555555553
5,1840,SGBNOV25, GB, 22-Dec-2022,5202.0,5205.0,5694.45,5205.0, 5694.45,5694.45,5424.71,19,1.03,6, 16, 84.21,9.403458213256481
6,1353,MOREPENLAB, EQ, 22-Dec-2022,33.0,33.5,38.0,33.45, 36.90,36.55,36.39,44990441,16372.49,71877, 8920052, 19.83,9.10447761194029
7,2169,UMANGDAIRY, EQ, 22-Dec-2022,61.65,57.35,66.0,57.1, 62.55,62.15,60.09,82981,49.86,1300, 12475, 15.03,8.369659982563203
8,299,BMETRICS, SM, 22-Dec-2022,1960.0,1862.0,2017.0,1862.0, 2017.00,2017.0,1913.67,600,11.48,3, 400, 66.67,8.324382384532761
9,1619,PULZ, SM, 22-Dec-2022,75.0,71.25,76.95,71.25, 76.95,76.95,71.82,40000,28.73,10, 40000, 100.00,8.000000000000004
10,1170,LAKPRE, BZ, 22-Dec-2022,6.0,5.75,6.15,5.75, 6.15,6.15,5.95,1726,0.1,12, -, -,6.956521739130441
11,2295,ZENITHSTL, EQ, 22-Dec-2022,5.3,5.05,5.8,4.95, 5.10,5.4,5.14,414285,21.3,859, 304724, 73.55,6.930693069306941
12,1808,SGBDEC2513, GB, 22-Dec-2022,5350.0,5154.0,5493.0,5154.0, 5493.00,5493.0,5405.59,27,1.46,10, 20, 74.07,6.577415599534342
13,1406,NECLIFE, EQ, 22-Dec-2022,22.15,22.5,25.3,22.5, 24.35,23.95,24.44,5424464,1325.9,12263, 1438021, 26.51,6.444444444444441
14,518,E2E, EQ, 22-Dec-2022,186.05,182.05,195.35,176.75, 195.35,193.4,180.55,12345,22.29,331, 8330, 67.48,6.234550947541881
15,287,BIOFILCHEM, EQ, 22-Dec-2022,52.0,53.4,61.65,52.8, 56.10,56.65,58.44,632705,369.75,7625, 213585, 33.76,6.086142322097379
16,321,BTML, SM, 22-Dec-2022,93.1,91.2,97.75,88.45, 97.75,96.6,93.32,144000,134.39,24, 114000, 79.17,5.921052631578938
17,79,AJANTPHARM, EQ, 22-Dec-2022,1171.8,1160.0,1251.0,1159.75, 1233.00,1227.4,1204.72,1093311,13171.32,51775, 235558, 21.55,5.810344827586214
18,1204,LOTUSEYE, BE, 22-Dec-2022,79.45,78.85,83.4,75.5, 83.40,83.3,80.0,34272,27.42,255, -, -,5.643627140139509
19,2107,TIL, BZ, 22-Dec-2022,151.95,150.0,159.5,145.5, 159.50,158.35,153.47,14116,21.66,146, -, -,5.566666666666663
20,476,DHUNINV, EQ, 22-Dec-2022,691.85,687.05,729.7,666.05, 729.00,724.7,701.38,4557,31.96,639, 2239, 49.13,5.47995051306311
21,453,DELPHIFX, EQ, 22-Dec-2022,385.55,381.0,424.0,381.0, 397.25,401.7,411.63,7796,32.09,1093, 3022, 38.76,5.43307086614173
22,2299,ZIMLAB, EQ, 22-Dec-2022,331.8,110.1,116.1,110.1, 116.10,116.05,115.39,88301,101.89,1460, 41798, 47.34,5.4041780199818374
23,1014,JALAN, SM, 22-Dec-2022,12.85,12.25,13.0,12.25, 12.90,12.9,12.67,33000,4.18,11, 18000, 54.55,5.306122448979594
24,1141,KOTHARIPRO, EQ, 22-Dec-2022,123.9,124.0,131.85,121.65, 131.00,130.25,125.69,19795,24.88,303, 16756, 84.65,5.040322580645161
