,SYMBOL,gainpercentage
0,UNIVASTU,21.217948717948715
1,FIVESTAR,20.777337329594907
2,PSB,17.519685039370092
3,DTIL,17.186463171864617
4,JNPT,16.952380952380953
5,TIJARIA,16.16161616161616
6,VIVIANA,13.882352941176467
7,SUMEETINDS,13.761467889908257
8,PASHUPATI,12.275594371664246
9,JAGSNPHARM,10.861027190332322
10,SRTRANSFIN,10.558375634517766
11,KOTHARIPET,10.20721412125862
12,JSL,9.97770345596433
13,PNCINFRA,9.496051147047762
14,PONNIERODE,9.470499243570352
15,NAVKARCORP,9.406779661016945
16,INDBANK,9.386281588447659
17,TARC,9.070294784580499
18,DONEAR,8.841672378341334
19,TRACXN,8.690012970168617
20,VISESHINFO,8.333333333333341
21,ZENITHSTL,8.24742268041238
22,DPSCLTD,8.178438661710048
23,SOMICONVEY,7.8651685393258575
24,IDBI,7.706422018348628
