,index,SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,gainpercentage
0,971,IRIS, EQ, 23-Nov-2022,72.6,71.1,87.1,71.1,86.6,85.25,85.89,1377575,1183.15,4785, 241919, 17.56,19.901547116737
1,588,FINOPB, EQ, 23-Nov-2022,193.0,196.0,231.6,194.1,231.6,231.6,223.18,4624519,10321.21,41194, 1879572, 40.64,18.163265306122444
2,1986,SURANASOL, EQ, 23-Nov-2022,20.45,21.0,24.5,21.0,24.5,24.5,23.91,285944,68.37,998, 210459, 73.60,16.666666666666664
3,457,DHANILOANS, NW, 23-Nov-2022,975.0,835.73,1009.9,835.73,975.0,975.0,940.21,3,0.03,3, 2, 66.67,16.66447297572182
4,832,ICICIB22, EQ, 23-Nov-2022,56.28,49.0,56.89,49.0,56.01,56.11,56.09,54711,30.69,1069, 37636, 68.79,14.510204081632653
5,2174,VASCONEQ, EQ, 23-Nov-2022,31.25,31.55,36.75,31.55,35.8,35.95,35.01,8703416,3046.92,21407, 3579371, 41.13,13.946117274167994
6,1666,RHIM, EQ, 23-Nov-2022,704.6,704.0,835.0,702.2,787.8,795.9,786.94,7151456,56277.7,243819, 801411, 11.21,13.053977272727268
7,2235,WELINV, EQ, 23-Nov-2022,326.15,345.0,391.35,343.5,391.35,388.9,379.73,117519,446.26,5455, 24413, 20.77,12.724637681159415
8,1264,MARSHALL, EQ, 23-Nov-2022,25.2,25.3,29.2,25.2,28.85,28.4,27.61,171070,47.23,1310, 70485, 41.20,12.252964426877462
9,1642,RCF, EQ, 23-Nov-2022,104.3,104.3,119.2,104.2,116.4,116.3,114.66,57361243,65769.64,187337, 10401589, 18.13,11.505273250239693
10,1987,SURANAT&P, EQ, 23-Nov-2022,10.3,10.1,11.3,10.1,11.15,11.25,11.08,435962,48.31,1099, 229526, 52.65,11.386138613861391
11,1579,PRECISION, SM, 23-Nov-2022,31.9,32.45,37.95,32.45,35.0,36.1,35.5,80000,28.4,38, 36000, 45.00,11.248073959938361
12,1707,SABAR, SM, 23-Nov-2022,15.0,13.1,14.5,13.1,14.5,14.5,13.99,40000,5.6,4, 30000, 75.00,10.687022900763361
13,2133,UGROCAP, N6, 23-Nov-2022,1017.5,995.0,1100.0,995.0,1100.0,1100.0,1004.55,11,0.11,2, 11, 100.00,10.552763819095476
14,429,DCI, BE, 23-Nov-2022,135.7,128.95,142.45,128.95,142.45,142.45,135.01,15005,20.26,211, -, -,10.469174098487786
15,1348,MPTODAY, SM, 23-Nov-2022,32.6,31.0,34.2,31.0,34.2,34.2,32.17,90000,28.95,35, 54000, 60.00,10.3225806451613
16,571,FACT, EQ, 23-Nov-2022,128.4,129.05,146.95,128.0,142.05,142.25,141.46,5751304,8136.04,48740, 876663, 15.24,10.228593568384339
17,1763,SECL, SM, 23-Nov-2022,349.9,332.45,367.35,332.45,366.85,366.25,358.08,93750,335.7,61, 35000, 37.33,10.166942397352988
18,1705,RVNL, EQ, 23-Nov-2022,58.0,57.95,63.8,56.6,63.8,63.8,60.79,50605727,30761.51,86122, 12457649, 24.62,10.094909404659179
19,1709,SADBHAV, EQ, 23-Nov-2022,13.2,13.45,15.5,13.25,14.8,14.8,14.76,9107120,1344.32,14959, 3272112, 35.93,10.037174721189603
20,274,BIKAJI, EQ, 23-Nov-2022,313.45,314.0,344.75,310.55,344.75,344.75,331.23,4006812,13271.96,56172, 2110250, 52.67,9.79299363057325
21,1406,NFL, EQ, 23-Nov-2022,51.45,51.65,57.45,51.45,56.55,56.7,55.88,16218327,9062.94,48266, 3796496, 23.41,9.777347531461771
22,2084,TIPSFILMS, EQ, 23-Nov-2022,433.05,435.15,476.35,430.55,476.35,476.35,463.78,10374,48.11,511, 6623, 63.84,9.467999540388384
23,2080,TIMESGTY, EQ, 23-Nov-2022,51.85,52.15,57.0,48.6,57.0,57.0,56.35,49352,27.81,295, 21513, 43.59,9.300095877277089
24,1482,ORIENTABRA, EQ, 23-Nov-2022,28.3,28.45,31.6,28.4,30.6,31.0,30.57,265226,81.08,1432, 141803, 53.46,8.963093145869951
