,index,SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,gainpercentage
0,1492,ONELIFECAP, EQ, 14-Dec-2022,13.4,13.55,16.05,12.25, 16.05,16.05,15.7,396800,62.28,941, 215300, 54.26,18.45018450184502
1,127,ANDREWYU, EQ, 14-Dec-2022,25.85,26.1,31.0,25.7, 31.00,30.85,29.49,8884736,2620.52,18939, 3686012, 41.49,18.199233716475092
2,1540,PEARLPOLY, EQ, 14-Dec-2022,23.05,22.6,27.6,22.6, 26.50,26.45,26.18,635344,166.31,2712, 285828, 44.99,17.035398230088486
3,520,DYCL, EQ, 14-Dec-2022,172.1,173.6,204.0,173.5, 200.00,199.3,194.82,853034,1661.91,22671, 255046, 29.90,14.804147465437797
4,942,INDORAMA, EQ, 14-Dec-2022,55.75,56.95,66.9,56.6, 65.00,64.7,63.07,1946142,1227.51,13000, 888435, 45.65,13.608428446005266
5,1478,NXTDIGITAL, EQ, 14-Dec-2022,100.2,97.25,110.2,94.2, 110.20,110.2,104.96,122042,128.09,1905, 55337, 45.34,13.316195372750645
6,730,GTLINFRA, EQ, 14-Dec-2022,1.25,1.25,1.45,1.2, 1.40,1.4,1.31,92707579,1210.36,16450, 42645004, 46.00,11.999999999999993
7,81,AHLUCONT, EQ, 14-Dec-2022,461.2,463.8,544.35,461.0, 516.00,518.3,522.19,610097,3185.85,24289, 175107, 28.70,11.750754635618788
8,1909,SITINET, EQ, 14-Dec-2022,2.1,2.25,2.5,2.1, 2.50,2.5,2.4,48896796,1175.84,10354, 25376865, 51.90,11.11111111111111
9,491,DJML, EQ, 14-Dec-2022,149.25,141.8,156.7,141.8, 156.70,156.7,148.2,8304,12.31,222, 5201, 62.63,10.50775740479547
10,2110,TIL, BZ, 14-Dec-2022,175.3,166.55,184.05,166.55, 184.05,184.05,174.66,66004,115.28,419, -, -,10.507355148604022
11,657,GICHSGFIN, EQ, 14-Dec-2022,169.45,170.0,193.9,170.0, 186.55,187.75,187.66,4538780,8517.58,46371, 913769, 20.13,10.441176470588236
12,2293,YUKEN, EQ, 14-Dec-2022,499.7,492.25,569.0,490.5, 536.00,543.35,521.55,81497,425.05,2616, 50205, 61.60,10.380904012188932
13,1556,PGEL, EQ, 14-Dec-2022,1057.9,1063.0,1180.0,1063.0, 1165.00,1169.95,1142.33,152449,1741.46,11657, 69331, 45.48,10.061147695202262
14,1951,SPYL, BE, 14-Dec-2022,0.5,0.5,0.55,0.5, 0.55,0.55,0.55,51678,0.28,5, -, -,10.000000000000009
15,1006,IVC, EQ, 14-Dec-2022,7.45,7.55,8.9,7.55, 8.30,8.3,8.54,5495956,469.11,5168, 2538955, 46.20,9.933774834437099
16,1795,SETCO, EQ, 14-Dec-2022,11.9,11.8,13.7,11.8, 13.00,12.95,12.99,702373,91.27,1660, 414934, 59.08,9.745762711864394
17,747,HATHWAY, EQ, 14-Dec-2022,17.3,17.5,19.35,17.35, 19.20,19.15,18.73,26217299,4909.34,23000, 10826309, 41.29,9.428571428571422
18,368,CHEMBOND, EQ, 14-Dec-2022,248.1,248.45,274.7,248.0, 271.30,271.55,266.07,296448,788.75,5713, 116695, 39.36,9.297645401489243
19,162,ARVEE, EQ, 14-Dec-2022,125.4,120.75,131.65,120.75, 131.65,131.65,130.46,8493,11.08,167, 7322, 86.21,9.02691511387164
20,2183,UNIVASTU, EQ, 14-Dec-2022,103.55,104.0,120.7,101.05, 112.25,113.25,109.08,839730,915.94,5777, 254318, 30.29,8.89423076923077
21,886,IDEA, EQ, 14-Dec-2022,7.9,7.95,8.95,7.75, 8.65,8.65,8.47,515723820,43688.71,147758, 125424748, 24.32,8.805031446540882
22,2158,UCOBANK, EQ, 14-Dec-2022,29.05,30.6,34.5,29.3, 33.25,33.25,32.13,396389777,127357.1,324499, 41495546, 10.47,8.660130718954244
23,2023,SURYODAY, EQ, 14-Dec-2022,115.85,117.2,134.0,117.2, 127.40,127.1,125.9,3285011,4135.93,40082, 1222718, 37.22,8.447098976109208
24,825,HTMEDIA, EQ, 14-Dec-2022,21.8,21.75,24.45,21.75, 23.65,23.55,23.62,2380338,562.19,5919, 1207429, 50.73,8.27586206896552
