,index,SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,gainpercentage
0,1473,NPST, SM, 27-Dec-2022,140.1,120.0,154.0,120.0,154.0,151.4,131.2,75200,98.66,30, 59200, 78.72,26.16666666666667
1,1752,SANDESH, EQ, 27-Dec-2022,803.45,790.55,964.1,790.55,964.1,964.1,914.23,81669,746.64,5759, 44807, 54.86,21.95307064701791
2,355,CENTUM, EQ, 27-Dec-2022,631.45,634.9,757.7,624.5,757.7,752.6,723.83,464420,3361.63,19861, 102140, 21.99,18.53835249645614
3,1043,JINDALPHOT, EQ, 27-Dec-2022,289.55,299.95,347.45,294.0,347.45,347.45,336.1,98317,330.44,4301, 37219, 37.86,15.835972662110354
4,1409,NAVA, EQ, 27-Dec-2022,210.05,211.0,245.65,207.65,243.3,242.75,234.02,4357698,10198.04,50108, 1066193, 24.47,15.04739336492891
5,1978,SREIBNPNCD, NR, 27-Dec-2022,180.0,160.0,183.95,160.0,183.95,183.28,177.37,295,0.52,3, 220, 74.58,14.550000000000002
6,1958,SONAMCLOCK, EQ, 27-Dec-2022,44.85,44.95,53.8,44.85,51.5,51.4,51.5,1248350,642.84,2233, 157319, 12.60,14.349276974416009
7,1971,SPLIL, EQ, 27-Dec-2022,65.2,67.0,77.5,65.5,76.5,75.65,73.25,453625,332.3,4268, 163052, 35.94,12.910447761194039
8,1607,PRECOT, EQ, 27-Dec-2022,169.85,168.95,194.9,168.0,189.45,190.0,183.63,6026,11.07,269, 3475, 57.67,12.459307487422322
9,1757,SANGINITA, EQ, 27-Dec-2022,21.3,21.15,25.55,20.0,24.1,23.75,24.54,515513,126.51,2018, 138804, 26.93,12.293144208037834
10,1650,RAJTV, EQ, 27-Dec-2022,47.7,49.65,57.2,48.3,56.0,55.75,55.94,374518,209.5,3650, 83570, 22.31,12.286002014098694
11,1723,RSWM-RE, BE, 27-Dec-2022,70.2,71.0,81.9,68.55,80.0,79.7,76.07,188674,143.52,1232, -, -,12.253521126760567
12,1130,KITEX, EQ, 27-Dec-2022,176.35,179.5,204.0,179.5,199.3,200.45,198.72,2012652,3999.58,25708, 248675, 12.36,11.67130919220055
13,1283,MANUGRAPH, EQ, 27-Dec-2022,15.1,14.9,16.6,14.9,16.6,16.6,16.34,83513,13.64,311, 52027, 62.30,11.40939597315437
14,169,ASHAPURMIN, EQ, 27-Dec-2022,80.25,81.45,93.7,81.45,89.55,89.9,89.51,901452,806.91,10608, 302481, 33.55,10.37446286065071
15,1592,PONNIERODE, EQ, 27-Dec-2022,380.3,400.0,447.0,390.05,445.0,441.4,420.41,470320,1977.29,12679, 143097, 30.43,10.349999999999994
16,588,EXCEL, BE, 27-Dec-2022,0.5,0.5,0.55,0.5,0.55,0.55,0.55,13681303,74.85,1595, -, -,10.000000000000009
17,2283,WEWIN, EQ, 27-Dec-2022,41.0,39.2,43.05,39.2,43.05,43.05,42.01,8718,3.66,95, 4853, 55.67,9.821428571428555
18,1386,MUKANDLTD, EQ, 27-Dec-2022,114.0,115.6,128.95,115.0,127.5,126.8,124.24,475475,590.75,8077, 231530, 48.69,9.688581314878896
19,1692,RHFL, N6, 27-Dec-2022,393.79,411.0,454.85,396.6,449.0,449.09,430.27,1458,6.27,46, 1446, 99.18,9.267639902676393
20,1411,NAVKARCORP, EQ, 27-Dec-2022,56.2,57.0,64.2,57.0,62.5,62.2,61.57,2560982,1576.7,13731, 727094, 28.39,9.122807017543865
21,639,GANGAFORGE, EQ, 27-Dec-2022,4.3,4.4,5.15,4.4,4.85,4.8,4.96,2633204,130.52,2128, 1072546, 40.73,9.09090909090908
22,2099,TEMBO, EQ, 27-Dec-2022,108.55,109.0,119.4,109.0,119.4,118.85,115.67,172358,199.37,1040, 98638, 57.23,9.036697247706417
23,1104,KCPSUGIND, EQ, 27-Dec-2022,26.85,28.5,31.5,27.9,31.25,31.05,30.3,3587318,1087.02,10901, 1328545, 37.03,8.947368421052634
24,782,HECPROJECT, EQ, 27-Dec-2022,30.35,33.45,36.4,30.65,36.4,36.4,35.03,17194,6.02,161, 9484, 55.16,8.819133034379657
