,index,SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,gainpercentage
0,1023,JAIBALAJI, EQ, 20-Dec-2022,48.8,49.05,58.55,49.05,58.55,58.55,55.89,3080022,1721.45,12809, 1341419, 43.55,19.367991845056064
1,1266,MALUPAPER, EQ, 20-Dec-2022,35.15,35.4,42.15,35.15,42.15,42.15,39.91,1701270,678.95,7853, 633488, 37.24,19.067796610169495
2,183,ASTRON, EQ, 20-Dec-2022,34.4,34.4,41.25,34.4,40.2,40.2,39.64,2178182,863.5,9642, 547153, 25.12,16.860465116279084
3,231,BALKRISHNA, EQ, 20-Dec-2022,32.1,33.0,38.5,32.2,38.5,38.5,36.8,169594,62.4,1083, 90651, 53.45,16.666666666666664
4,1077,JUNIORBEES, EQ, 20-Dec-2022,458.98,399.3,461.0,399.3,458.12,458.89,456.4,111970,511.03,5161, 83878, 74.91,14.923616328575
5,1424,NELCAST, EQ, 20-Dec-2022,104.9,104.9,119.75,102.6,118.4,118.4,115.01,2984215,3432.27,32883, 772021, 25.87,12.869399428026693
6,1462,NITCO, EQ, 20-Dec-2022,26.15,26.25,31.05,26.15,29.15,29.6,29.49,1132999,334.17,5306, 451725, 39.87,12.761904761904766
7,589,FACT, EQ, 20-Dec-2022,266.1,260.0,292.7,256.5,292.7,292.7,280.19,8926626,25011.16,95867, 1162184, 13.02,12.576923076923071
8,1541,PARSVNATH, EQ, 20-Dec-2022,9.5,9.3,10.45,9.2,10.45,10.45,10.15,2466108,250.39,2330, 1635050, 66.30,12.365591397849446
9,2016,SUMEETINDS, EQ, 20-Dec-2022,6.45,6.5,7.4,6.5,7.3,7.3,7.04,1554775,109.53,1864, 1125376, 72.38,12.307692307692305
10,1546,PATINTLOG, EQ, 20-Dec-2022,13.95,13.95,16.5,13.95,15.5,15.6,15.77,3790585,597.88,6664, 1703369, 44.94,11.827956989247316
11,1091,KANDARP, SM, 20-Dec-2022,15.95,14.5,16.2,14.5,16.2,16.2,15.4,12000,1.85,3, 12000, 100.00,11.724137931034479
12,1979,SPIC, EQ, 20-Dec-2022,73.0,72.45,82.8,71.4,80.85,80.9,78.79,15916823,12541.47,49043, 3219405, 20.23,11.663216011042103
13,367,CHEMPLASTS, EQ, 20-Dec-2022,438.4,435.7,488.0,430.6,476.8,480.65,475.72,1522846,7244.56,41199, 216802, 14.24,10.316731696121181
14,1246,MADRASFERT, EQ, 20-Dec-2022,84.6,84.4,93.05,83.25,93.05,93.05,90.69,7866002,7133.75,31764, 1793163, 22.80,10.248815165876767
15,597,FEL, EQ, 20-Dec-2022,1.5,1.5,1.65,1.45,1.65,1.65,1.62,6081765,98.3,1722, 3450289, 56.73,9.999999999999993
16,644,GENUSPAPER, EQ, 20-Dec-2022,18.05,18.3,21.15,18.25,20.15,20.05,19.92,7384148,1470.87,11648, 1945294, 26.34,9.562841530054644
17,396,CONFIPET, EQ, 20-Dec-2022,79.05,78.7,86.75,77.9,86.4,85.95,83.84,7713597,6467.35,28569, 3161236, 40.98,9.212198221092757
18,496,DONEAR, EQ, 20-Dec-2022,87.6,88.0,98.4,83.55,97.0,96.1,93.02,2371511,2206.08,19001, 756618, 31.90,9.204545454545448
19,1389,MURUDCERA, EQ, 20-Dec-2022,41.05,41.05,46.15,40.95,45.0,44.8,44.29,960509,425.37,5091, 508953, 52.99,9.135200974421439
20,706,GRAVITA, EQ, 20-Dec-2022,420.55,422.45,468.6,421.95,466.75,459.8,449.29,1396471,6274.18,29918, 329706, 23.61,8.841282992070074
21,1990,SREIBNPNCD, Y7, 20-Dec-2022,363.75,350.0,380.0,350.0,380.0,380.0,365.0,100,0.37,2, 0, 0.00,8.571428571428571
22,1911,SHRIRAMFIN, YN, 20-Dec-2022,1485.85,1376.1,1492.0,1376.1,1492.0,1492.0,1470.56,11,0.16,3, 9, 81.82,8.422353026669581
23,358,CEREBRAINT, EQ, 20-Dec-2022,14.6,13.9,15.25,13.9,15.1,15.05,14.15,35356720,5003.07,19741, 9076626, 25.67,8.27338129496403
24,988,IRFC, EQ, 20-Dec-2022,32.85,32.95,35.9,32.6,35.7,35.65,34.61,181272162,62742.67,148251, 47512356, 26.21,8.194233687405147
