,index,SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,gainpercentage
0,390,COMP-RE, BE, 29-Nov-2022,2.05,2.05,2.85,2.0,2.8,2.8,2.76,880677,24.27,1230, -, -,36.585365853658544
1,1183,LFIC, EQ, 29-Nov-2022,100.8,102.0,120.95,101.65,120.95,120.95,117.0,35111,41.08,617, 20997, 59.80,18.578431372549023
2,253,BCLIND, EQ, 29-Nov-2022,327.5,327.5,393.0,327.0,377.0,381.75,374.19,1211524,4533.44,27595, 418314, 34.53,16.56488549618321
3,1686,RITEZONE, SM, 29-Nov-2022,81.5,80.2,97.8,80.0,94.35,93.2,93.59,433600,405.79,200, 150400, 34.69,16.209476309226932
4,1759,SBC, EQ, 29-Nov-2022,12.5,13.0,15.0,13.0,15.0,15.0,14.35,16604362,2383.42,16290, 5871814, 35.36,15.384615384615385
5,1381,NAGREEKEXP, EQ, 29-Nov-2022,37.35,38.65,44.8,37.5,44.8,44.4,43.86,897320,393.56,4098, 267925, 29.86,14.877102199223804
6,1443,NILAINFRA, EQ, 29-Nov-2022,7.0,7.15,8.3,7.0,8.05,8.15,7.96,9958139,792.18,4336, 3243988, 32.58,13.986013986013985
7,1546,PFOCUS, EQ, 29-Nov-2022,81.1,81.65,94.95,78.0,91.55,92.8,89.71,1450185,1300.95,16889, 359727, 24.81,13.655848132271881
8,91,ALKALI, EQ, 29-Nov-2022,118.55,119.3,138.35,117.95,134.7,135.3,133.68,601291,803.82,8097, 184731, 30.72,13.41156747694888
9,1436,NIACL, EQ, 29-Nov-2022,101.25,102.2,116.8,102.0,114.2,115.0,112.84,19182624,21646.22,98462, 2099597, 10.95,12.524461839530328
10,274,BHANDARI, EQ, 29-Nov-2022,4.85,4.95,5.7,4.85,5.55,5.55,5.51,3126521,172.14,2922, 1704370, 54.51,12.121212121212114
11,517,DYNPROPP, E1, 29-Nov-2022,150.0,133.95,155.05,133.95,150.0,150.0,145.3,433,0.63,24, 161, 37.18,11.982082866741331
12,1950,SREIBNPNCD, NU, 29-Nov-2022,185.01,166.1,185.01,166.1,185.0,185.0,184.91,203,0.38,9, 202, 99.51,11.37868753762794
13,1627,RADHIKAJWE, EQ, 29-Nov-2022,141.35,142.0,160.65,141.0,159.0,156.95,154.62,181790,281.09,5233, 74114, 40.77,10.528169014084499
14,2095,TIDEWATER, EQ, 29-Nov-2022,997.0,1003.0,1174.0,1000.55,1094.8,1107.15,1117.97,643589,7195.14,47260, 88245, 13.71,10.3838484546361
15,361,CHEMBOND, EQ, 29-Nov-2022,242.15,245.8,275.75,241.55,267.9,270.8,266.96,522057,1393.7,16468, 127178, 24.36,10.17087062652563
16,52,ADFFOODS, EQ, 29-Nov-2022,755.05,750.0,835.0,750.0,825.0,825.45,817.65,212667,1738.88,9696, 85553, 40.23,10.060000000000006
17,1866,SHIGAN, SM, 29-Nov-2022,83.55,76.5,84.0,76.5,84.0,84.0,79.78,30000,23.93,7, 27000, 90.00,9.803921568627452
18,42,ACCELYA, EQ, 29-Nov-2022,1533.35,1534.1,1715.0,1519.65,1670.0,1682.7,1647.19,233744,3850.2,18883, 93536, 40.02,9.686461117267463
19,1874,SHRADHA, BE, 29-Nov-2022,64.9,62.05,67.9,62.05,67.8,67.8,65.11,634,0.41,18, -, -,9.266720386784852
20,1884,SHUBHLAXMI, SM, 29-Nov-2022,44.5,42.5,47.0,42.0,46.3,46.3,44.61,9000,4.01,9, 7000, 77.78,8.941176470588228
21,486,DKEGL, SM, 29-Nov-2022,57.2,55.1,60.05,55.0,60.05,59.95,57.98,51000,29.57,16, 36000, 70.59,8.802177858439205
22,2260,WEWIN, BE, 29-Nov-2022,46.0,44.1,48.3,44.1,47.9,47.9,47.74,3479,1.66,22, -, -,8.616780045351467
23,2227,VISESHINFO, BE, 29-Nov-2022,0.6,0.6,0.65,0.6,0.65,0.65,0.62,4321794,26.84,3597, -, -,8.333333333333341
24,443,DCM, EQ, 29-Nov-2022,77.65,78.5,85.4,77.5,85.35,84.85,82.85,418542,346.78,3974, 211226, 50.47,8.089171974522285
