,SYMBOL,gainpercentage
0,VAISHALI,18.427419354838705
1,QUADPRO,15.833333333333336
2,YESBANK,11.299435028248588
3,OPTIEMUS,11.080544092923736
4,SAGARDEEP,10.563380281690142
5,CUBEXTUB,10.256410256410254
6,AMJUMBO,10.114942528735629
7,ARENTERP,9.864864864864861
8,LSIL,9.433962264150944
9,EXCEL,9.09090909090908
10,SONAMCLOCK,8.626974483596609
11,JYOTISTRUC,8.51063829787235
12,KAMATHOTEL,8.154506437768234
13,AURDIS,7.928286852589632
14,KOTHARIPRO,7.884310618066563
15,TRU,7.032967032967028
16,RHFL,6.875000000000001
17,SREIBNPNCD,6.864826610049532
18,JAYNECOIND,6.8441064638783295
19,CROWN,6.6285714285714255
20,KOTAKLOVOL,6.6153846153846105
21,KRISHIVAL,6.459999999999991
22,HEADSUP,6.2256809338521455
23,RICHA,6.111111111111108
24,JMCPROJECT,5.877680698967438
