,index,SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,gainpercentage
0,297,BLBLIMITED, EQ, 07-Dec-2022,19.65,19.4,23.55,19.4, 23.55,23.55,22.81,317313,72.37,925, 135228, 42.62,21.3917525773196
1,781,HECPROJECT, EQ, 07-Dec-2022,31.35,31.35,37.6,31.35, 37.60,37.6,37.4,36412,13.62,154, 35447, 97.35,19.936204146730464
2,1214,LPDC, EQ, 07-Dec-2022,6.05,6.1,7.25,6.1, 7.25,7.25,7.07,400611,28.31,366, 269370, 67.24,18.85245901639345
3,326,BURNPUR, EQ, 07-Dec-2022,5.05,5.1,6.05,5.05, 6.05,6.05,5.86,2721620,159.6,1980, 1528510, 56.16,18.62745098039216
4,1455,NITCO, EQ, 07-Dec-2022,23.25,23.6,27.9,23.55, 27.90,27.9,26.32,928324,244.35,3580, 437816, 47.16,18.220338983050834
5,1079,KANPRPLA, EQ, 07-Dec-2022,92.75,95.0,111.3,95.0, 111.30,111.3,107.69,179820,193.66,1950, 79862, 44.41,17.157894736842103
6,1645,RAJTV, EQ, 07-Dec-2022,50.7,52.0,60.8,49.2, 60.80,60.8,58.55,292121,171.04,1450, 113820, 38.96,16.92307692307692
7,1424,NEXTMEDIA, EQ, 07-Dec-2022,5.45,5.6,6.5,5.45, 6.50,6.5,6.2,143238,8.88,106, 134495, 93.90,16.071428571428577
8,1916,SITINET, EQ, 07-Dec-2022,1.55,1.6,1.85,1.6, 1.85,1.85,1.77,15577953,276.47,1922, 8297033, 53.26,15.625
9,68,AGRITECH, EQ, 07-Dec-2022,92.35,95.9,110.8,94.2, 110.80,110.8,108.36,71364,77.33,866, 48481, 67.93,15.537017726798737
10,1499,OPTIEMUS, EQ, 07-Dec-2022,257.3,257.95,308.75,257.9, 292.65,296.25,293.6,2879432,8454.04,37063, 800201, 27.79,14.847838728435747
11,2267,WEALTH, EQ, 07-Dec-2022,300.75,303.65,360.9,298.0, 342.10,346.8,350.27,43274,151.58,1643, 10500, 24.26,14.210439650913894
12,1334,MITTAL, EQ, 07-Dec-2022,11.9,11.55,13.9,11.55, 13.70,13.15,12.57,97926,12.31,329, 67473, 68.90,13.85281385281385
13,424,CUBEXTUB, EQ, 07-Dec-2022,37.45,38.5,44.5,35.15, 43.50,43.3,40.66,925245,376.17,6600, 273839, 29.60,12.467532467532461
14,1181,LASA, EQ, 07-Dec-2022,31.55,31.75,37.7,31.6, 35.10,35.45,35.69,609857,217.68,3432, 233922, 38.36,11.653543307086624
15,696,GOKULAGRO, EQ, 07-Dec-2022,118.7,118.6,138.0,118.6, 132.70,132.2,132.24,2721472,3598.77,36653, 458440, 16.85,11.467116357504212
16,786,HERCULES, EQ, 07-Dec-2022,193.8,194.0,224.2,193.3, 217.50,216.2,212.2,598280,1269.55,14485, 210582, 35.20,11.44329896907216
17,1076,KANANIIND, EQ, 07-Dec-2022,9.95,10.7,11.9,10.5, 11.90,11.9,11.67,2353033,274.61,2610, 1088545, 46.26,11.214953271028048
18,1591,PPAP, EQ, 07-Dec-2022,224.75,226.0,264.0,225.95, 251.35,250.9,249.63,287548,717.8,8382, 132492, 46.08,11.01769911504425
19,632,GAL, EQ, 07-Dec-2022,2.8,2.75,3.15,2.75, 3.00,3.05,2.97,1974694,58.56,1185, 1151364, 58.31,10.909090909090903
20,594,FACT, EQ, 07-Dec-2022,147.45,147.6,165.75,145.55, 165.45,162.45,158.87,8034728,12764.42,66035, 911341, 11.34,10.060975609756094
21,794,HIKAL, EQ, 07-Dec-2022,351.3,351.95,392.9,351.95, 381.00,385.85,381.3,6337666,24165.54,83240, 679880, 10.73,9.632050007103292
22,2193,USASEEDS, SM, 07-Dec-2022,232.0,232.1,255.2,232.1, 253.10,254.25,247.53,21600,53.47,18, 16800, 77.78,9.543300301594144
23,1136,KOTAKNIFTY, EQ, 07-Dec-2022,198.59,180.7,199.02,180.7, 197.50,197.68,198.06,16312,32.31,331, 10812, 66.28,9.396790260099623
24,1898,SIDDHIKA, SM, 07-Dec-2022,180.05,173.0,189.05,173.0, 189.00,189.0,183.87,14000,25.74,7, 6000, 42.86,9.248554913294797
